,Cluster idx.,Number of recordings,Modal region,Modal tape index,Synoptic scale
0,-1,648,kaxeTi,219,"23.72359054455378, 205.07184459933256, 322.6807570908027, 382.6555628327832, 503.3663392627941, 685.7170937776935, 715.8635839355792, 867.8900366970829, 998.6172377968738, 1183.9131788366979"
1,20,107,guria,70,"38.62232233488482, 188.09222916835546, 296.87343701608023, 352.78938377189087, 463.5603779195181, 523.6509308304358, 694.2338779949245, 902.6680303122217, 1181.4288815931864"
2,28,46,kaxeTi,151,"34.321776493956676, 191.78984717270683, 298.3941736821712, 351.93541827877095, 414.04761706150117, 495.1779903897685, 571.336352947102, 658.3347211813445, 725.7831009650089, 840.4140237024533, 955.7528245645569, 1177.6194040889504"
3,0,44,qarTli,67,"32.890844246615906, 201.3345053229265, 290.6593111675545, 310.1848372821265, 406.93826871539665, 490.1244715226653, 512.5632526389777, 616.7892249922102, 710.3616885675681, 723.6327855212862, 900.6186833002131, 924.2225040362636, 993.1676275802231, 1138.1675531946678"
4,95,36,raWa,57,"82.7028518901614, 289.6870492386411, 350.5286331818526, 414.92049167049396, 514.825193736061, 705.6438018898447, 881.1061305966637, 1129.3269597106987"
5,44,36,raWa,194,"33.33752792843011, 229.66552446255278, 322.2386858097375, 385.3979456438474, 483.5622504918653, 535.1116384417543, 694.7620802400727, 737.4651516419901, 881.0195003860355, 1006.681003101022, 1151.706444639731"
6,51,33,kaxeTi,9,"21.851475358663823, 242.02885736151447, 351.89674118993656, 489.0105359347955, 700.5130576558919, 801.2166807077658, 851.0309139607788, 908.6672442341214, 1175.657832786889"
7,47,32,samegrelo,3,"15.936969346288604, 213.92200243593265, 321.3138746186492, 365.87342394288356, 496.7847967515398, 698.1013653828255, 875.2341331761147, 884.4875848088114, 1185.3779683533319"
8,58,32,guria,169,"22.913889897381512, 246.0844408216752, 352.9319492448109, 500.06147429549907, 677.8273829865199, 712.1322959789893, 900.5504157494653, 1181.3199945418298"
9,16,26,kaxeTi,60,"33.29879310898818, 191.16964843592297, 243.7095074667012, 287.45067742025805, 341.1358185996483, 404.74586818603416, 512.60697529806, 706.5760884817541, 908.4143924213829, 1185.129458912897"
10,3,25,kaxeTi,15,"2.464887900801108, 21.072239898314987, 190.75061771909012, 519.1815005133434, 703.5265708521288, 869.0459918005901, 992.0001264810289, 1181.7953401570715, 1199.5140127028583"
11,41,25,aWara,218,"188.40001979782997, 328.8142809131434, 365.3210589551393, 504.4156613951304, 707.5322255052014, 859.4903490194721, 1037.4365426195834, 1182.1806904583013"
12,87,24,svaneTi,168,"22.919391356575158, 296.5427654525581, 360.8877166512377, 492.91415434017216, 686.2734138088127, 713.9868953797585, 850.8851040901567, 947.3826916832115, 1182.891177397049"
13,94,24,kaxeTi,159,"20.99042152274712, 224.90008112452057, 365.36917301428804, 487.278946137998, 520.4308593716373, 677.7235274369067, 717.7190404361671, 885.6180187951281, 1180.6030238681294"
14,67,23,kaxeTi,134,"19.3976906684999, 267.88318674540136, 349.90051662780775, 494.96930463939987, 706.8792300628243, 924.7629177396483, 1185.0034017145458"
15,9,23,Tbilisi,187,"37.88917328406536, 192.98906776565565, 260.5925666652733, 358.53854144653707, 441.6143936566716, 531.80146298248, 699.2970336954515, 738.2925497553086, 868.8877192665411, 1085.6885664984268"
16,23,21,kaxeTi,47,"23.729524882290793, 225.21155043771785, 318.49572018445235, 385.5009083284786, 490.07973765515356, 704.7041757662369, 869.4569785373643, 899.1738175331396, 985.6276000816233, 1187.3485311485772"
17,25,20,svaneTi,6,"15.091378542852851, 217.19155158248932, 324.702545268682, 384.91592986872325, 509.8548103360344, 700.5143860549464, 896.902716432122, 1186.5248391989762"
18,35,19,qarTli,162,"27.847244608253252, 156.15400679939208, 289.8455487391477, 379.9900903085156, 487.66811274485707, 686.8168423382691, 705.320165236571, 725.0469062379422, 878.5969520849847, 1187.3064570524841"
19,53,19,svaneTi,192,"22.654761938357158, 199.50064464034392, 301.47551628818616, 342.5767748567487, 383.5680090656024, 506.88229829058906, 698.5285857871039, 851.6249246206778, 970.3518879395906, 1182.8716871246233"
20,43,19,samegrelo,112,"19.200396041120907, 268.30306468835903, 329.66431932175925, 391.4901821169762, 475.04460244645253, 514.8020906271927, 690.4451226205688, 716.3572511812355, 883.9559166822381, 1183.6541645783477"
21,42,19,samegrelo,158,"18.90854176387064, 226.3029076805555, 319.743867215525, 387.7005627561386, 510.2135725305717, 696.8491329434036, 867.8111235696924, 946.9743174571855, 1185.7326010826873"
22,84,18,leCxumi,158,"22.564061918532328, 231.22913898970788, 349.2125072929696, 441.6078474965543, 521.9595044838766, 688.1907764967672, 712.8191714050223, 878.104159196482, 1183.4171199800899"
23,15,18,kaxeTi,155,"20.631459580879174, 219.46332228987694, 344.9864759469552, 454.35069359860717, 526.8883265905389, 689.3035230933916, 728.7870786411487, 879.5662541830558, 1167.8482071480198"
24,91,18,imereTi,194,"21.909639005896278, 219.90629419023094, 326.7554338307334, 382.5657734789293, 488.4582709208636, 549.0148425234765, 703.0781098003762, 862.778568956642, 987.5129518951551, 1184.9067413865187"
25,79,17,samegrelo,142,"58.528683202235555, 324.02047848368494, 375.4017057845157, 490.83849128417995, 698.0164471140496, 815.6628307673359, 902.3137231613033, 1184.7543757383273"
26,61,17,qarTli,123,"21.760317782905467, 319.88009879584837, 495.12524657122736, 706.7254487700633, 885.8120570225358, 967.6112912705504, 1018.9722255113966, 1185.2675056073667"
27,56,16,kaxeTi,103,"18.67328506375647, 225.77013257429232, 312.81059157668886, 386.1881592711069, 496.45927546306837, 703.6897720053934, 894.3543221033249, 974.361439497405, 1181.7193193045807"
28,100,16,kaxeTi,216,"32.90364378487317, 259.67139314550025, 352.9119252350631, 422.6193822977374, 502.8261122729499, 682.6863217263907, 722.7329436991914, 843.3322356627148, 935.2791199606436, 1174.095696276103"
29,60,15,kaxeTi,52,"28.692458449578837, 243.13008707059763, 356.6956805113846, 498.91824565329136, 708.9208967522414, 901.9990265164807, 997.4156506758054, 1183.2667382107948"
30,69,15,kaxeTi,103,"26.576530350130213, 329.9704472602723, 455.6805805140446, 700.3211330051846, 926.4549767426953, 1176.2573483717954"
31,89,15,raWa,193,"68.30161873363333, 236.49974563406084, 321.0530123667065, 385.8285833572739, 454.21166462697306, 511.13151632337707, 619.7718565662549, 707.3410113274442, 817.038761717312, 915.3752029108159, 1179.6417368882364"
32,68,15,imereTi,21,"33.005108737303104, 280.27107050383586, 368.61088001557505, 479.145639806911, 713.4976427291873, 932.0561818425647, 1181.3403293099366"
33,6,15,Tbilisi,186,"31.980400743251, 218.22642121831691, 332.88475868541104, 381.73409266598975, 513.1523881360715, 696.4152448914853, 739.760984836755, 864.5320244774726, 1114.8242559072917"
34,46,14,kaxeTi,161,"19.424897163382663, 212.81734099574174, 322.6596533712575, 393.8676317171277, 514.439986298242, 689.7207498653911, 713.787473365628, 743.5705209707502, 888.1743761273983, 1185.8777548041487"
35,39,14,guria,197,"19.05861748852734, 213.34816489896858, 355.5733606522579, 515.4775485931758, 712.5549447540965, 856.0823459444463, 904.7422748326302, 1037.6581730374876, 1185.0719709153157"
36,83,14,imereTi,28,"26.119484250908677, 237.53183330547307, 301.95075381884766, 375.34101487472043, 452.8213270433277, 559.6000470409789, 701.1935505954032, 882.078194795104, 1181.29269852107"
37,7,14,Tbilisi,197,"29.961854352801854, 214.12444864007222, 350.7473187211046, 512.3513416864056, 689.9376817304008, 729.0437428260424, 855.5522334632099, 1036.3191673665408, 1171.1043413129194"
38,96,13,imereTi,28,"66.27895083089881, 283.2656355351146, 363.95748294224364, 467.0684460122838, 636.4242847221628, 689.4697473317898, 878.3355352887644, 1186.1587895729153"
39,90,13,svaneTi,108,"35.47562837492445, 226.0964102953889, 322.82267387320104, 366.6888652706941, 412.87096000283174, 522.0415867651391, 702.3315595809354, 821.4500370811218, 892.8599374379556, 1182.6603854157"
40,66,13,gudamayari,55,"41.33061355471272, 217.29359316943908, 296.25671385293464, 333.9775805313433, 370.4396447515154, 410.40569803590387, 504.11589478447513, 702.3765229213419, 913.6656651895931, 1176.8671898393668"
41,78,13,svaneTi,218,"22.903938114566923, 257.6393272358345, 340.8285094403383, 391.5698644167203, 519.1099606361438, 705.8199961681869, 826.1172151885568, 905.4313218513971, 1185.1681939049015"
42,49,12,kaxeTi,14a,"24.42666546767774, 331.95649482917986, 486.8864805593295, 701.8494337433177, 894.908794529806, 1175.2909029302261"
43,40,12,Tbilisi,177,"27.738331251357035, 193.41623766591616, 280.31207271880925, 358.95457159451655, 499.87719818970174, 696.7190401570431, 845.3219908562914, 882.7550047343437, 1044.5485537285424, 1184.534859986873"
44,18,12,raWa,218,"35.691542597256415, 192.50879804919947, 331.0272709274792, 402.8892434188807, 519.6763769634666, 551.326003425909, 701.3959377581734, 737.6566996344505, 909.6309257381474, 1183.2966067108118"
45,98,12,svaneTi,219,"21.99840622751453, 209.94092414223653, 334.5571742508311, 381.85678620013346, 504.09292174872434, 703.6688611072675, 861.7042749261312, 976.9963172658438, 1187.3858315945465"
46,57,12,guria,170,"23.595828543190528, 206.57402456961788, 345.7971375869006, 472.62406698317415, 522.3641842321002, 665.8227492993003, 709.2778989106536, 858.6804405252009, 1007.1710510009933, 1177.6943587550745"
47,74,11,samegrelo,93,"21.813822752901096, 270.21346293304265, 358.75448393244716, 500.6376827094967, 705.2499527766757, 863.5777642354902, 997.9002052715473, 1180.453180105201"
48,102,11,guria,195,"21.717578751859417, 206.77453454569593, 347.8736840894319, 478.8310950597994, 518.7238749535791, 703.7540244086389, 868.2681995202478, 969.8687373228105, 1180.295420955782"
49,104,11,Tbilisi,195,"26.100174853425603, 165.9442298750606, 235.1538866370236, 335.2233033683958, 379.5758218131854, 503.4503826476204, 692.317639267984, 720.1875652223622, 891.5336010558837, 1181.4983852680405"
50,63,10,kaxeTi,78,"27.833697245235452, 220.24148911965725, 353.53682559185313, 471.85226472595747, 553.0890517879351, 724.5287105671085, 864.4320056002476, 1179.5759969802555"
51,27,10,guria,216,"11.18015676977619, 166.51612612480838, 293.52472887754584, 386.9700648224109, 493.67357848820103, 630.4236801936182, 681.7930023092272, 723.2358854101285, 910.3448936301656, 1179.381344917265"
52,26,10,guria,165,"15.872256732950847, 203.7044037425534, 335.1487771887964, 375.9669444746498, 506.61437324384775, 703.0992334395988, 842.017823001286, 1008.7199023216529, 1184.5207184373646"
53,99,10,svaneTi,219,"31.70051495455213, 216.4604854179692, 334.42617969297083, 386.92010838728163, 508.5727834772915, 689.5450876916999, 738.0792581033429, 859.0841934274454, 1189.2726829897126"
54,101,10,svaneTi,159,"29.502315062196892, 235.57250786341262, 312.850709885028, 352.93503262627627, 389.1687342642138, 491.6563540342174, 682.6770553426811, 719.8921067209913, 883.69101470793, 1187.973231267073"
55,19,10,kaxeTi,32,"45.228029304284604, 166.07868693434463, 237.2138374403699, 313.07920439159, 379.05916196420947, 440.4878933824732, 523.1742026792281, 585.1702073826688, 670.1859439238096, 758.5101572703207, 919.7704641376401, 1063.7745692460048"
56,13,10,kaxeTi,13,"42.05729357712244, 207.32611389898756, 268.8485313191132, 315.8417899071507, 365.71279131663385, 486.0751641789703, 701.6423815598332, 914.7460739711753, 1177.1648448408569"
57,22,10,xevi,116,"-116.46574541394519, -27.341736100013076, 35.69476238917027, 72.09056807410597, 122.59302451323808, 177.26031996045603, 229.5357751321277, 300.9008071266049, 468.5682479697717, 1181.1575140657771"
58,24,9,guria,6,"12.700029727913627, 159.20669631082214, 288.987477680935, 335.2253225040306, 375.69187345953105, 492.50468173769093, 702.3352353729022, 888.7686287523434, 1020.848123583831, 1188.21342621869"
59,37,9,imereTi,127,"8.093065203049651, 30.33989454136247, 268.4255225681711, 378.2400567464689, 522.967835332734, 676.3042401287604, 697.8878943268398, 719.013859974443, 744.4714064219486, 887.4796685194539, 1179.1134712103749"
60,45,9,imereTi,83,"16.38726245363064, 221.29407116535833, 361.8387543245749, 519.023258842824, 689.4268827747583, 710.8667501393332, 861.4456954264575, 1004.7528806266828, 1185.7188276190643"
61,14,9,aWara,66,"15.686784882240701, 191.17416686277002, 324.93760597583724, 380.74323153737424, 509.69814468132563, 692.8257426771604, 876.0388891332965, 1168.9987640841468"
62,80,9,qarTli,70,"33.858758292317845, 150.04655773860316, 285.3936358334604, 343.8768417181621, 456.03807476344866, 487.6251270658957, 525.1674249212506, 693.3655030171643, 870.545014144658, 965.5289646794154, 1180.6746234427674"
63,64,9,Tbilisi,142,"28.273098200897632, 213.5687859914272, 358.6386043111276, 451.0110523311766, 527.3582067657975, 709.630914511025, 791.1869054777732, 951.4082743582944, 1171.270484269852"
64,81,9,leCxumi,158,"20.155242164673464, 178.92412551000166, 300.6369194294082, 365.468575441061, 492.7540159058048, 682.9120670572801, 718.5044033677354, 869.9654308550882, 977.9391732707899, 1181.6328973689979"
65,55,8,kaxeTi,153,"19.828096118334393, 214.7155101214082, 342.1477896279163, 407.440947393705, 510.2968578440037, 697.8594035970735, 730.881957816447, 879.3184818900824, 993.4550564017103, 1177.1032092938083"
66,92,8,samegrelo,116,"19.278609178370978, 199.50528146683314, 312.64084303460913, 372.9133102717252, 480.9902946038567, 528.3161938344487, 700.4030930717558, 868.4707671568203, 994.1527569221576, 1184.1636030890731"
67,75,8,kaxeTi,48,"30.959052849560067, 234.99198383084502, 353.6963824919805, 403.5713532897449, 579.9905911563766, 714.7680445681682, 857.5339048799061, 1171.199957645373"
68,30,8,kaxeTi,71,"16.373617818742773, 212.01189941408614, 272.78452709686366, 373.11073427447224, 516.5729615055476, 689.8984078894323, 726.8328602376865, 894.2157610167857, 1189.559147987677"
69,5,8,Tbilisi,184,"30.31235185632914, 201.41041864372545, 329.28723015831537, 379.20003801672954, 525.1695658463623, 690.5264616571169, 729.7323006277911, 870.2988214771843, 1056.3284245498817"
70,62,7,kaxeTi,128,"20.948389944201754, 283.9317735126996, 374.1743247706663, 462.3131336869406, 541.2549780515603, 702.2778060724169, 752.0664409836567, 902.712709915318, 1008.1519326932389, 1182.1387376109838"
71,32,7,kaxeTi,47,"19.968680214509465, 216.85293957940695, 352.1567678113765, 499.6214279366988, 704.3080568747063, 873.2936236397318, 1026.822962152328, 1184.37227883263"
72,29,7,kaxeTi,150,"43.160865488387444, 317.00953023748195, 382.5185972673929, 519.53604123518, 699.2246923968528, 854.9458388095806, 955.9738601697564, 1104.243801436769"
73,77,7,samegrelo,91,"26.739820744767382, 327.6732830945641, 349.8266523578104, 487.016193272974, 695.9124615436042, 719.8930261515984, 874.040205761807, 945.7124289528282, 1181.5375119472894"
74,1,7,kaxeTi,153,"24.032661604911393, 697.4184611203565, 1167.7830127781824, 1186.6057542010512"
75,36,7,kaxeTi,11,"9.077265162897248, 77.66694193986245, 254.34536934120715, 376.6030797023503, 519.1955921319626, 696.3887090814782, 748.7545630260214, 873.3466298794973, 1020.2142575789984, 1181.9724553446213, 1337.5022073797725"
76,12,7,kaxeTi,48,"20.89676467978766, 254.33683872837733, 326.66134799518403, 483.2430330879881, 709.1833214568618, 916.5377371233327, 1184.98053970328"
77,72,7,imereTi,133,"18.38044261102079, 329.13732781711786, 390.9233118132175, 702.7261953509826, 883.7343074319291, 1181.6055564331034"
78,65,7,kaxeTi,131,"15.267829544655298, 298.20888853958536, 399.2102106235056, 708.3774334831319, 903.6534900224281, 1184.879998734339"
79,48,7,samegrelo,92,"15.9955204276005, 221.55930489134, 343.74285097869574, 509.7736384996946, 701.2551742451762, 872.8410309488636, 1022.8712885296604, 1183.8609525296922"
80,85,7,guria,46,"19.298286795133862, 255.64020428253326, 365.5672954773929, 516.3395163817579, 685.4207979600818, 726.5178799717247, 861.000441541553, 1009.8809400266138, 1181.6224436494356"
81,17,7,kaxeTi,199,"30.456605380114404, 180.74334628113772, 318.48213376447967, 399.2505235881635, 511.1822038201262, 699.2356016102456, 761.8276127243139, 890.4377320795985, 1028.0043190760553, 1175.739120139131"
82,34,7,samegrelo,83,"20.707549483146273, 217.11391626004203, 353.1884694766537, 514.0920334309332, 678.3121544987944, 704.9442074574739, 730.508741228532, 843.9547049783597, 1024.1726864049685, 1185.0060890960249"
83,59,7,imereTi,131,"24.079236243787275, 258.98733225670657, 371.16502682820686, 509.0998910610666, 705.0741703179476, 883.1779596580612, 989.91258182906, 1184.6076546532267"
84,21,7,qarTli,70,"53.18692861721527, 123.96266312450729, 170.84137415331142, 239.32002259840746, 296.6892028517926, 466.54167503982177, 603.5872812017886, 1186.6771844878838"
85,86,7,guria,172,"36.781275985364566, 186.95478712410312, 318.78339059778637, 363.811848710067, 500.9563467808357, 672.7626191521244, 710.0058536184004, 865.7175124107356, 1084.6336835622462"
86,52,7,imereTi,26,"32.225871949576224, 237.6440830877514, 355.1034255526948, 492.320125550569, 649.2840922463284, 710.128665156855, 860.3799641181793, 973.4758303081487, 1178.0449929346503"
87,76,7,raWa,87,"51.07939472902108, 276.5012017268086, 360.10569617208625, 411.4772328926916, 445.2354193004358, 701.6545526429899, 717.6782453990887, 881.7167474213205"
88,93,6,svaneTi,86,"19.842530430324622, 219.12588155784468, 332.8745277327403, 388.71939605569514, 505.62473610804375, 702.2789523949465, 740.860315113875, 873.3472938326959, 1171.9638547205507"
89,11,6,kaxeTi,14a,"52.50973192428947, 230.08782568308757, 308.7970334707678, 380.14565870344506, 486.56377647099004, 706.540832063929, 917.3509864237154, 1178.7621794395263"
90,33,6,samegrelo,92,"1.2587688690717005, 22.95374569791261, 168.0743192174666, 283.9245208272261, 359.9063731020735, 508.4307734091997, 585.1139202626694, 700.8088996630723, 849.0429569395031, 1024.6868395792562, 1186.6128820595382"
91,73,6,xevi,107,"18.886021963484488, 263.45387799700575, 378.48645115273905, 453.67337442763534, 708.9373367918271, 819.2580610974961, 953.8520498339137, 1187.4038865538325"
92,71,6,leCxumi,31b,"20.934259899721685, 292.0222876928551, 336.457062715609, 503.5921592732928, 682.728801957151, 720.3586460379656, 885.9898353445059, 1176.0785797916683"
93,103,6,svaneTi,107,"20.993131067860567, 197.04511819846795, 333.73803503597276, 392.1418336165369, 495.22789921203804, 539.2760498069396, 699.805908543294, 851.5391731386529, 1181.5624149368916"
94,8,6,Tbilisi,197,"36.488388536266825, 228.19052510819427, 360.8302468507214, 461.03141614937147, 533.6123081468621, 713.13064924825, 875.2900481439166, 1033.032713042384, 1164.6393750932443"
95,31,6,kaxeTi,134,"26.519136072648262, 285.834707092498, 357.40156928006627, 500.8192462133879, 707.1014091078308, 885.788132398201, 946.4216377048709, 1100.4183188018753"
96,54,6,guria,93,"28.11429388353764, 245.6013035526109, 311.65165032863007, 336.28259231289155, 526.8185708288379, 699.5438014941528, 876.2772866689627, 1010.144391371311, 1182.496571228773"
97,50,6,svaneTi,107,"15.714217116793508, 230.3669380149121, 322.13585875443727, 354.2107235332013, 384.23517576161, 503.30342273308077, 682.61796454161, 708.461567978909, 856.6796929298652, 874.1706781501988, 1186.3280843754637"
98,70,6,kaxeTi,103,"27.164758098917407, 330.6604603381623, 467.58839128082076, 702.261639855431, 932.1902474160893, 1179.4640781647704"
99,4,5,guria,179,"44.44789537276848, 192.5586632031364, 353.7725156072696, 508.58304238010214, 682.7626513807221, 722.7847346424946, 850.7889850178349, 1086.802050178675"
100,10,5,guria,171,"38.930557129897004, 149.32119581615248, 204.93325410430916, 272.33591324694675, 326.3223938804275, 378.4383574870931, 488.5691716519525, 698.6090261147922, 886.137289986588, 992.951612067227, 1166.6091080961296"
101,82,5,guria,216,"18.622037512422395, 211.7876839555475, 309.7115660893138, 359.7100669919211, 504.1506168566615, 703.9644676267628, 881.5744817493401, 1005.6803562170675, 1183.5459814708413"
102,38,5,samegrelo,192,"34.01746250896012, 289.82892232129007, 358.59440861060693, 521.698226126652, 704.0693947950774, 901.9181680552333, 1080.7296100544797"
103,97,5,imereTi,22,"28.501673153486745, 243.91725052591087, 318.3860461135347, 367.33798817342335, 430.31995379450063, 503.4711612487304, 702.8307710842306, 869.4296533853734, 1178.3299446247079"
104,2,5,qarTli,148,"2.0113225268464814, 19.22960328646526, 36.71708054476103, 343.2536813143248, 706.031615453132, 876.9838411642487, 1173.6294088677694, 1193.6710763179804"
105,88,5,raWa,17,"25.44767631870781, 318.3750527006618, 379.2440107949892, 512.0350223535308, 686.7431223968406, 725.2912462878595, 872.9919226861845, 939.0770213124858, 1181.4133576693814"
